Date,Committee,Number of utterances made by the committees per month
"=""01-1995""",102,0
"=""01-1996""",102,0
"=""01-1997""",102,0
"=""01-1998""",102,0
"=""01-1999""",102,0
"=""01-2000""",102,0
"=""01-2001""",102,0
"=""01-2002""",102,0
"=""01-2003""",102,0
"=""01-2004""",102,0
"=""01-2005""",102,0
"=""01-2006""",102,0
"=""01-2007""",102,0
"=""01-2008""",102,0
"=""01-2009""",102,0
"=""01-2010""",102,145
"=""01-2011""",102,0
"=""01-2012""",102,0
"=""02-1995""",102,0
"=""02-1996""",102,0
"=""02-1997""",102,0
"=""02-1998""",102,0
"=""02-1999""",102,0
"=""02-2000""",102,0
"=""02-2001""",102,0
"=""02-2002""",102,0
"=""02-2003""",102,0
"=""02-2004""",102,0
"=""02-2005""",102,0
"=""02-2006""",102,0
"=""02-2007""",102,504
"=""02-2008""",102,157
"=""02-2009""",102,285
"=""02-2010""",102,0
"=""02-2011""",102,730
"=""02-2012""",102,0
"=""03-1995""",102,0
"=""03-1996""",102,0
"=""03-1997""",102,0
"=""03-1998""",102,0
"=""03-1999""",102,0
"=""03-2000""",102,0
"=""03-2001""",102,0
"=""03-2002""",102,0
"=""03-2003""",102,0
"=""03-2004""",102,0
"=""03-2005""",102,0
"=""03-2006""",102,0
"=""03-2007""",102,1295
"=""03-2008""",102,0
"=""03-2009""",102,840
"=""03-2010""",102,632
"=""03-2011""",102,885
"=""03-2012""",102,449
"=""04-1995""",102,0
"=""04-1996""",102,0
"=""04-1997""",102,0
"=""04-1998""",102,0
"=""04-1999""",102,0
"=""04-2000""",102,0
"=""04-2001""",102,0
"=""04-2002""",102,0
"=""04-2003""",102,0
"=""04-2004""",102,0
"=""04-2005""",102,0
"=""04-2006""",102,0
"=""04-2007""",102,1075
"=""04-2008""",102,0
"=""04-2009""",102,957
"=""04-2010""",102,535
"=""04-2011""",102,606
"=""04-2012""",102,249
"=""05-1995""",102,0
"=""05-1996""",102,0
"=""05-1997""",102,0
"=""05-1998""",102,0
"=""05-1999""",102,0
"=""05-2000""",102,0
"=""05-2001""",102,0
"=""05-2002""",102,0
"=""05-2003""",102,0
"=""05-2004""",102,0
"=""05-2005""",102,0
"=""05-2006""",102,0
"=""05-2007""",102,1679
"=""05-2008""",102,354
"=""05-2009""",102,577
"=""05-2010""",102,401
"=""05-2011""",102,799
"=""05-2012""",102,0
"=""06-1995""",102,0
"=""06-1996""",102,0
"=""06-1997""",102,0
