Date,Agency,JK Code,UA Code,Parent UA Code,Number of utterances made by the agencies per month
"=""01-1995""",Broadcasting Board of Governors,228,3112,3112,0
"=""01-1995""",Commission on Civil Rights,208,3035,3035,0
"=""01-1995""",Commodities Futures Trading Commission,210,3038,3038,0
"=""01-1995""",Consumer Product Safety Commission,211,3041,3041,0
"=""01-1995""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""01-1995""",Department of Agriculture,11,500,500,0
"=""01-1995""",Department of Commerce,33,600,600,0
"=""01-1995""",Department of Defense,45,700,700,0
"=""01-1995""",Department of Education,140,1800,1800,0
"=""01-1995""",Department of Energy,154,1900,1900,0
"=""01-1995""",Department of Health and Human Services,53,900,900,0
"=""01-1995""",Department of Homeland Security,127,1600,1600,0
"=""01-1995""",Department of Housing and Urban Development,191,2500,2500,0
"=""01-1995""",Department of Justice,88,1100,1100,0
"=""01-1995""",Department of Labor,98,1200,1200,0
"=""01-1995""",Department of State,113,1400,1400,0
"=""01-1995""",Department of the Air Force,46,701,700,0
"=""01-1995""",Department of the Army,47,702,700,0
"=""01-1995""",Department of the Interior,72,1000,1000,0
"=""01-1995""",Department of the Navy,48,703,700,0
"=""01-1995""",Department of the Treasury,114,1500,1500,0
"=""01-1995""",Department of Transportation,176,2100,2100,0
"=""01-1995""",Department of Veterans Affairs,200,2900,2900,0
"=""01-1995""",Environmental Protection Agency,164,2000,2000,0
"=""01-1995""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""01-1995""",Export-Import Bank of the United States,214,3048,3048,0
"=""01-1995""",Farm Credit Administration,215,3052,3052,0
"=""01-1995""",Federal Communications Commission,217,3060,3060,0
"=""01-1995""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""01-1995""",Federal Emergency Management Agency,139,1660,1600,0
"=""01-1995""",Federal Housing Finance Agency,198,2590,2590,0
"=""01-1995""",Federal Housing Finance Agency,219,3069,3069,0
"=""01-1995""",Federal Labor Relations Authority,220,3070,3070,0
"=""01-1995""",Federal Maritime Commission,221,3072,3072,0
"=""01-1995""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""01-1995""",Federal Reserve ,276,7100,7100,0
"=""01-1995""",Federal Trade Commission,224,3084,3084,0
"=""01-1995""",General Services Administration,225,3090,3090,0
"=""01-1995""",Inter-American Foundation,8,417,417,0
"=""01-1995""",Interstate Commerce Commission,231,3120,3120,0
"=""01-1995""",Merit Systems Protection Board,233,3124,3124,0
"=""01-1995""",National Aeronautics and Space Administration,199,2700,2700,0
"=""01-1995""",National Archives and Records Administration,226,3095,3095,0
"=""01-1995""",National Council on Disability,273,3480,3480,0
"=""01-1995""",National Credit Union Administration,235,3133,3133,0
"=""01-1995""",National Labor Relations Board,242,3142,3142,0
"=""01-1995""",National Mediation Board,240,3140,3140,0
"=""01-1995""",National Science Foundation,243,3145,3145,0
"=""01-1995""",National Transportation Safety Board,244,3147,3147,0
"=""01-1995""",Nuclear Regulatory Commission,245,3150,3150,0
"=""01-1995""",Office of Management and Budget,3,348,300,0
"=""01-1995""",Office of Personnel Management,251,3206,3206,0
"=""01-1995""",Panama Canal Commission,252,3207,3207,0
"=""01-1995""",Peace Corps,9,420,420,0
"=""01-1995""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""01-1995""",Postal Regulatory Commission,256,3211,3211,0
"=""01-1995""",Railroad Retirement Board,259,3220,3220,0
"=""01-1995""",Securities and Exchange Commission,261,3235,3235,0
"=""01-1995""",Selective Service System,262,3240,3240,0
"=""01-1995""",Small Business Administration,263,3245,3245,0
"=""01-1995""",Smithsonian Institution,264,3250,3250,0
"=""01-1995""",Social Security Administration,71,960,960,0
"=""01-1995""",Tennessee Valley Authority,267,3316,3316,0
"=""01-1995""",U.S. Coast Guard,131,1625,1600,0
"=""01-1995""",U.S. Coast Guard,177,2115,2100,0
"=""01-1995""",U.S. Information Agency,229,3116,3116,0
"=""01-1995""",United States Agency for International Development,7,412,412,0
"=""01-1995""",United States International Trade Commission,230,3117,3117,0
"=""01-1995""",United States Postal Service,255,3210,3210,0
"=""01-1996""",Broadcasting Board of Governors,228,3112,3112,0
"=""01-1996""",Commission on Civil Rights,208,3035,3035,0
"=""01-1996""",Commodities Futures Trading Commission,210,3038,3038,0
"=""01-1996""",Consumer Product Safety Commission,211,3041,3041,0
"=""01-1996""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""01-1996""",Department of Agriculture,11,500,500,0
"=""01-1996""",Department of Commerce,33,600,600,0
"=""01-1996""",Department of Defense,45,700,700,0
"=""01-1996""",Department of Education,140,1800,1800,0
"=""01-1996""",Department of Energy,154,1900,1900,0
"=""01-1996""",Department of Health and Human Services,53,900,900,0
"=""01-1996""",Department of Homeland Security,127,1600,1600,0
"=""01-1996""",Department of Housing and Urban Development,191,2500,2500,0
"=""01-1996""",Department of Justice,88,1100,1100,0
"=""01-1996""",Department of Labor,98,1200,1200,0
"=""01-1996""",Department of State,113,1400,1400,0
"=""01-1996""",Department of the Air Force,46,701,700,0
"=""01-1996""",Department of the Army,47,702,700,0
"=""01-1996""",Department of the Interior,72,1000,1000,0
"=""01-1996""",Department of the Navy,48,703,700,0
"=""01-1996""",Department of the Treasury,114,1500,1500,0
"=""01-1996""",Department of Transportation,176,2100,2100,0
"=""01-1996""",Department of Veterans Affairs,200,2900,2900,0
"=""01-1996""",Environmental Protection Agency,164,2000,2000,0
"=""01-1996""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""01-1996""",Export-Import Bank of the United States,214,3048,3048,0
"=""01-1996""",Farm Credit Administration,215,3052,3052,0
"=""01-1996""",Federal Communications Commission,217,3060,3060,0
"=""01-1996""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""01-1996""",Federal Emergency Management Agency,139,1660,1600,0
"=""01-1996""",Federal Housing Finance Agency,198,2590,2590,0
"=""01-1996""",Federal Housing Finance Agency,219,3069,3069,0
"=""01-1996""",Federal Labor Relations Authority,220,3070,3070,0
"=""01-1996""",Federal Maritime Commission,221,3072,3072,0
"=""01-1996""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""01-1996""",Federal Reserve ,276,7100,7100,0
"=""01-1996""",Federal Trade Commission,224,3084,3084,0
"=""01-1996""",General Services Administration,225,3090,3090,0
"=""01-1996""",Inter-American Foundation,8,417,417,0
"=""01-1996""",Interstate Commerce Commission,231,3120,3120,0
"=""01-1996""",Merit Systems Protection Board,233,3124,3124,0
"=""01-1996""",National Aeronautics and Space Administration,199,2700,2700,0
"=""01-1996""",National Archives and Records Administration,226,3095,3095,0
"=""01-1996""",National Council on Disability,273,3480,3480,0
"=""01-1996""",National Credit Union Administration,235,3133,3133,0
