Congress,Commitee,Agency,Count
115,102,Federal Reserve,2
115,102,Department of Agriculture,4
115,102,Farm Credit Administration,2
115,102,Department of the Treasury,1
115,104,Office of Community Planning and Development,1
115,104,Federal Highway Administration,1
115,106,Central Intelligence Agency,2
115,106,Department of Defense,11
115,173,Department of Transportation,3
115,106,Joint Chiefs of Staff,1
115,106,Defense Contract Management Agency,1
115,106,National Nuclear Security Administration,2
115,106,Federal Emergency Management Agency,1
115,106,United States Coast Guard,1
115,106134,Department of State,1
115,106134,National Security Council,1
115,106134,Department of Defense,1
115,106,Defense Contract Audit Agency,1
115,106,Department of Energy,1
115,106,Missile Defense Agency,1
115,106,Special Inspector General for Afghanistan Reconstruction,1
115,124,Department of Labor,1
115,124,Department of Education,2
115,128,Department of Health and Human Services,8
115,128,Office of National Drug Control Policy,1
115,128,Drug Enforcement Administration,1
115,128,Centers for Disease Control and Prevention,1
115,128,Department of Homeland Security,1
115,128,Department of State,1
115,128,Food and Drug Administration,2
115,128,Department of Energy,4
115,128,Centers for Medicare and Medicaid Services,2
115,128,Federal Energy Regulatory Commission,3
115,128,National Institutes of Health,1
115,128,Federal Communications Commission,8
115,113,Department of Homeland Security,2
115,128,Environmental Protection Agency,3
115,113,Federal Reserve,3
115,113,Department of the Treasury,3
115,113,Consumer Financial Protection Bureau,1
115,113,Department of Justice,1
115,113,Department of State,1
115,113,Smithsonian Institution,1
115,134,United States Agency for International Development,17
115,134,Department of State,33
115,134,United States Institute of Peace,2
115,134,United States African Development Foundation,1
115,134,Joint Chiefs of Staff,1
115,134,Department of the Treasury,3
115,134,International Atomic Energy Agency,1
115,134,United Nations,1
115,134,Department of Justice,2
115,134,Drug Enforcement Administration,1
115,134,National Institutes of Health,2
115,134,Department of Defense,2
115,134,Department of Agriculture,1
115,134,Department of Commerce,1
115,134,Bureau of Industry and Security,1
115,134,Overseas Private Investment Corporation,1
115,134,Bureau of Consular Affairs,1
115,251,Department of Homeland Security,46
115,251,Bureau of International Narcotics and Law Enforcement Affairs,1
115,251,United States Coast Guard,1
115,251,Library of Congress,2
115,251,Department of State,1
115,251,Department of Justice,2
115,164,Forest Service,1
115,251,General Services Administration,1
115,251,Department of the Interior,1
115,251,Department of Energy,1
115,-,Department of Homeland Security,1
115,138,Special Inspector General for Afghanistan Reconstruction,1
115,251,Office of the Director of National Intelligence,1
115,164,Department of the Interior,8
115,164,Indian Health Service,1
115,164,National Oceanic and Atmospheric Administration,2
115,164,United States Geological Survey,1
115,164,Bureau of Reclamation,2
115,164,Council on Environmental Quality,1
115,164,Bureau of Land Management,1
115,164,Bureau of Ocean Energy Management,1
115,138,Department of Health and Human Services,3
115,138,Department of Homeland Security,5
115,138,Peace Corps,1
115,138,Department of Labor,1
115,138,Department of Justice,4
115,138,Office of Special Counsel,2
115,138,Council of the Inspectors General on Integrity and Efficiency,3
115,138,Department of Defense,3
115,138,Office of Personnel Management,5
115,138,Postal Regulatory Commission,1
115,138,United States Postal Service,3
115,138,Department of the Interior,3
115,138,Department of Veterans Affairs,1
115,138,Transportation Security Administration,1
115,138,Internal Revenue Service,3
115,138,Food and Drug Administration,1
115,138,Federal Bureau of Investigation,2
115,138,National Institute of Standards and Technology,1
115,138,Drug Enforcement Administration,1
115,138,Federal Emergency Management Agency,1
115,138,Department of Agriculture,1
115,138,Surface Transportation Board,1
115,138,Securities and Exchange Commission,1
115,138,Department of Commerce,1
115,138,Department of Education,4
115,138,General Services Administration,2
115,138,Office of National Drug Control Policy,1
115,138,United States Customs and Border Protection,1
115,138,Department of State,1
115,138,Office of the Director of National Intelligence,1
115,138,Department of Energy,5
115,138,Environmental Protection Agency,1
115,182,National Institute of Standards and Technology,6
115,182,National Aeronautics and Space Administration,6
115,182,Department of Commerce,1
115,182,United Nations,1
115,182,National Science Foundation,6
115,184182,Small Business Administration,1
115,182,Department of Energy,2
115,182,General Services Administration,1
115,184,Small Business Administration,15
115,184,Federal Trade Commission,1
115,184,National Institute of Standards and Technology,1
115,173,United States Coast Guard,7
115,173,Federal Maritime Commission,2
115,156,Bureau of Prisons,1
115,192,Department of Veterans Affairs,20
115,184,Environmental Protection Agency,1
115,184,Food and Drug Administration,1
115,184,United States Fish and Wildlife Service,1
115,184,Department of Labor,1
115,184,Department of Homeland Security,2
115,173,Federal Aviation Administration,2
115,184,Department of Energy,1
115,173,Maritime Administration,2
115,173,Environmental Protection Agency,1
115,173,Federal Railroad Administration,1
115,173,National Transportation Safety Board,1
115,173,United States Army Corps of Engineers,1
115,173,Appalachian Regional Commission,1
115,192,Veterans Benefits Administration,1
115,192,Veterans Health Administration,1
115,156,Executive Office for Immigration Review,1
115,156,Department of Justice,1
115,156,Federal Trade Commission,3
115,156,Federal Communications Commission,1
115,306314,Department of the Treasury,1
115,306321,Federal Communications Commission,3
115,435306,United States Census Bureau,1
114,102,Department of Agriculture,30
115,308,Department of Defense,2
115,314,Federal Reserve,3
115,314,Federal Emergency Management Agency,1
115,314,Federal Deposit Insurance Corporation,2
115,314,Department of Commerce,2
115,314,Department of the Treasury,3
