JK Code,Agency,Alternate Name,UA Code,Parent UA Code,clinton1,clinton2,gwb1,gwb2,obama
228,Broadcasting Board of Governors,,3112,3112,0.31180599,NA,0.404009846,0.059923539,-0.372914381
208,Commission on Civil Rights,,3035,3035,NA,NA,0.294059823,0.220318444,-0.327078079
210,Commodities Futures Trading Commission,CFTC,3038,3038,0.097892248,-0.272093457,-0.206062258,-0.080781494,-0.350418668
211,Consumer Product Safety Commission,,3041,3041,-0.300902396,-0.344983024,-0.391081132,-0.227872999,-0.311321429
260,Court Services and Offender Supervision Agency,,3225,3225,NA,NA,-0.381135071,-0.006701819,0.419837716
11,Department of Agriculture,USDA,500,500,-0.155982117,-0.166840869,0.071749076,-0.054579494,-0.221790596
33,Department of Commerce,DOC,600,600,-0.277650957,-0.1343719,0.069032167,-0.111039034,-0.28484818
45,Department of Defense,DOD,700,700,0.11970533,0.077768785,0.190504547,0.065946937,-0.054787766
140,Department of Education,,1800,1800,-0.330999569,-0.265878952,0.092020886,-0.081340701,-0.255922775
154,Department of Energy,DOE,1900,1900,-0.279078712,-0.165151956,0.072266785,-0.138606506,-0.156930671
53,Department of Health and Human Services,DHHS,900,900,-0.160533199,-0.172272749,0.080955294,-0.196582618,-0.322917498
127,Department of Homeland Security,DHS,1600,1600,-0.057646599,0.201263838,0.272319693,0.088696002,-0.063046488
191,Department of Housing and Urban Development,HUD,2500,2500,-0.116632677,-0.181464978,0.158988026,-0.097665372,-0.318847157
88,Department of Justice,DOJ,1100,1100,-0.054946848,0.035418335,0.01164498,-0.129159196,-0.159702183
98,Department of Labor,DOL,1200,1200,-0.305210733,-0.234897134,0.088942231,0.024725012,-0.285191627
113,Department of State,,1400,1400,-0.077649324,-0.243363254,0.18687185,-0.032701187,-0.192020772
46,Department of the Air Force,,701,700,0.221696864,0.315466406,0.240924538,0.07762113,0.107541864
47,Department of the Army,,702,700,0.239532412,0.251071879,0.14257471,0.049435738,0.105388456
72,Department of the Interior,DOI,1000,1000,-0.249317412,-0.229046404,-0.112594658,-0.165504733,-0.218529252
48,Department of the Navy,,703,700,0.236203522,0.207511743,0.15366854,0.068329443,0.146571907
114,Department of the Treasury,,1500,1500,-0.274935507,-0.077590736,0.034622166,-0.150294547,-0.207872241
176,Department of Transportation,DOT,2100,2100,-0.183330766,-0.146323438,0.000920591,-0.041569403,-0.082313079
200,Department of Veterans Affairs,,2900,2900,-0.012435853,-0.086358874,-0.083586587,-0.159663567,-0.136793176
164,Environmental Protection Agency,EPA,2000,2000,-0.196691561,-0.166546291,-0.128578176,-0.256136496,-0.272100321
213,Equal Employment Opportunity Commission,EEOC,3046,3046,-0.399394052,-0.25169092,-0.246786484,-0.29094548,-0.270976985
214,Export-Import Bank of the United States,,3048,3048,-0.428079997,-0.016087535,0.068572504,-0.167126801,-0.380322076
215,Farm Credit Administration,,3052,3052,0.228404763,0.668333332,-0.165676033,-0.067315005,-0.269996796
217,Federal Communications Commission,FCC,3060,3060,-0.150958473,-0.186346202,-0.153020919,-0.234595835,-0.283100885
218,Federal Deposit Insurance Corporation,FDIC,3064,3064,-0.022456548,-0.012058102,-0.084552284,-0.200446199,-0.234389936
139,Federal Emergency Management Agency,FEMA,1660,1600,-0.117679557,-0.053259582,0.041283264,-0.124397183,-0.1430242
