Agcy Name,Org Name,Pborg Seq,Pborg Seq Managed By,Org Order,Location,Title,Name of Incumbent,Type of Appt,Pay Plan,Pay,Tenure,Expires,Pb Order
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Chief of Staff,Denis R. McDonough ,PA,AD,, ,,1
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and National Security Advisor,Susan E. Rice ,PA,AD,, ,,2
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Deputy Chief of Staff for Operations,Anita J. Breckenridge ,PA,AD,, ,,3
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Deputy Chief of Staff for Implementation,Kristie A. Canegallo ,PA,AD,, ,,4
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of Scheduling and Advance,Chase M. Cushman ,PA,AD,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Press Secretary,Joshua R. Earnest ,PA,AD,, ,,6
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Counsel to the President,Warren N. Eggleston ,PA,AD,, ,,7
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Senior Advisor and Assistant to the President for Intergovernmental Affairs and Public Engagement,Valerie B. Jarrett ,PA,AD,, ,,8
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Cabinet Secretary,Broderick D. Johnson ,PA,AD,, ,,9
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of Speechwriting,Cody S. Keenan ,PA,AD,, ,,10
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President for Homeland Security and Counterterrorism and Deputy National Security Advisor,Lisa O. Monaco ,PA,AD,, ,,11
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of the Domestic Policy Council,Cecilia Munoz ,PA,AD,, ,,12
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Deputy National Security Advisor for Strategic Communications and Speechwriting,Benjamin J. Rhodes ,PA,AD,, ,,13
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of the Office of Political Strategy and Outreach,David M. Simas ,PA,AD,, ,,14
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Chief of Staff to the First Lady,Christina M. Tchen ,PA,AD,, ,,15
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President for Economic Policy and Director of the National Economic Council,Jeffrey D. Zients ,PA,AD,, ,,16
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Senior Advisor,Brian C. Deese ,PA,AD,, ,,17
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Deputy National Security Advisor,Avril D. Haines ,PA,AD,, ,,18
