JK Code,Agency,Alternate Name,UA Code,Parent UA Code
158,Acquisition and Project Management,,1991,1900
168,Administration and Resources Management,,2030,2000
68,Administration for Children and Families,,970,900
69,Administration for Community Living,,985,900
70,Administration on Aging,,985,900
201,Administrative Conference of the United States,,3002,3002
203,Advisory Council on Historic Preservation,,3010,3010
58,Agency for Health Care Policy and Research,,919,900
59,Agency for Healthcare Research and Quality,,919,900
28,Agricultural Marketing Service,,581,500
13,Agricultural Research Service,,518,500
118,Alcohol and Tobacco Tax and Trade Bureau,,1513,1500
266,American Battle Monuments Commission,,3263,3263
26,Animal and Plant Health Inspection Service,,579,500
204,Appalachian Regional Commission,,3011,3011
205,Architectural and Transportation Barriers Compliance Board,,3014,3014
278,Arms Control and International Security,,,
279,Asian Development Bank,,,
85,Assistant Secretary for Land and Minerals Management,,1082,1000
86,"Assistant Secretary for Policy, Management and Budget",,1090,1000
206,Barry Goldwater Scholarship and Excellence in Education Program,,3019,3019
280,Board for International Broadcasting,,,
281,Board of Veterans Appeals,,,
228,Broadcasting Board of Governors,,3112,3112
117,"Bureau of Alcohol, Tobacco and Firearms",,1512,1500
95,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,1140,1100
128,Bureau of Citizenship and Immigration Services,,1615,1600
282,Bureau of Consular Affairs,,,
133,Bureau of Customs and Border Protection,,1651,1600
283,Bureau of Diplomatic Security,,,
40,Bureau of Economic Analysis,,691,600
136,Bureau of Immigration and Customs Enforcement,,1653,1600
84,Bureau of Indian Affairs,,1076,1000
44,Bureau of Industry and Security,,694,600
284,Bureau of International Narcotics and Law Enforcement Affairs,,,
104,Bureau of Labor Statistics,,1220,1200
73,Bureau of Land Management,,1004,1000
75,Bureau of Ocean Energy Management,,1010,1000
76,"Bureau of Ocean Energy Management, Regulation, and Enforcement",,1010,1000
92,Bureau of Prisons,,1120,1100
74,Bureau of Reclamation,,1006,1000
79,Bureau of Safety and Environmental Enforcement,,1014,1000
121,Bureau of the Fiscal Service,,1530,1500
122,Bureau of the Public Debt,,1535,1500
188,Bureau of Transportation Statistics,,2139,2100
60,Centers for Disease Control and Prevention,CDC,920,900
64,Centers for Medicare and Medicaid Services,,938,900
285,Central Intelligence Agency,CIA,,
286,Chemical Safety and Hazard Investigation Board,,,
96,Civil Rights Division,,1190,1100
287,Civil Service Commission,,,
288,"Civilian Security, Democracy, and Human Rights",,,
208,Commission on Civil Rights,,3035,3035
209,Committee for Purchase From People Who Are Blind or Severely Disabled,,3037,3037
210,Commodities Futures Trading Commission,CFTC,3038,3038
20,Commodity Credit Corporation,,566,500
126,Community Development Financial Institutions Fund,,1559,1500
247,Consumer Financial Protection Bureau,CFPB,3170,3170
211,Consumer Product Safety Commission,,3041,3041
14,"Cooperative State Research, Education, and Extension Services",,524,500
212,Corporation for National Community Service,,3045,3045
289,Corporation for Public Broadcasting,,,
290,Council of Economic Advisors,,,
258,Council of the Inspectors General on Integrity and Efficiency,,3219,3219
2,Council on Environmental Quality,,331,300
260,Court Services and Offender Supervision Agency,,3225,3225
119,Customs Revenue Function,,1515,1500
52,Defense Acquisition Regulations Council,,750,700
291,Defense Advanced Research Projects Agency,,,
162,Defense and Security Affairs,,1992,1900
292,Defense Base Closure and Realignment Commission,,,
293,Defense Commissary Agency,,,
294,Defense Contract Audit Agency,,,
295,Defense Contract Management Agency,,,
51,Defense Finance and Accounting Service,,730,700
296,Defense Health Agency,,,
246,Defense Nuclear Facilities Safety Board,,3155,3155
297,Delta Regional Authority,,,
11,Department of Agriculture,USDA,500,500
33,Department of Commerce,DOC,600,600
45,Department of Defense,DOD,700,700
140,Department of Education,,1800,1800
154,Department of Energy,DOE,1900,1900
53,Department of Health and Human Services,DHHS,900,900
127,Department of Homeland Security,DHS,1600,1600
191,Department of Housing and Urban Development,HUD,2500,2500
88,Department of Justice,DOJ,1100,1100
98,Department of Labor,DOL,1200,1200
113,Department of State,,1400,1400
46,Department of the Air Force,,701,700
47,Department of the Army,,702,700
72,Department of the Interior,DOI,1000,1000
48,Department of the Navy,,703,700
114,Department of the Treasury,,1500,1500
176,Department of Transportation,DOT,2100,2100
200,Department of Veterans Affairs,,2900,2900
132,Directorate of Border and Transportation Security,,1650,1600
138,Directorate of Emergency Preparedness and Response,,1660,1600
298,"District of Columbia Offender Supervision, Defender, and Courts Services Agency",,,
277,DOD/GSA/NASA (FAR),,9000,9000
91,Drug Enforcement Administration,,1117,1100
35,Economic Development Administration,,610,600
299,"Economic Growth, Energy, and the Environment",,,
300,Election Assistance Commission,,,
100,Employee Benefits Security Administration,,1210,1200
99,Employment and Training Administration,,1205,1200
101,Employment Standards Administration,,1215,1200
157,Energy Information Administration,,1905,1900
301,Energy R&D Administration,,,
164,Environmental Protection Agency,EPA,2000,2000
213,Equal Employment Opportunity Commission,EEOC,3046,3046
302,European Bank for Reconstruction and Development,,,
94,Executive Office for Immigration Review,,1125,1100
303,Executive Office for United States Attorneys,,,
1,Executive Office of the President,,300,300
304,Executive Residence at the White House,,,
214,Export-Import Bank of the United States,,3048,3048
215,Farm Credit Administration,,3052,3052
216,Farm Credit System Insurance Corporation,,3055,3055
18,Farm Service Agency,,560,500
305,Federal Agricultural Mortgage Corporation,Farmer Mac,,
178,Federal Aviation Administration,FAA,2120,2100
90,Federal Bureau of Investigation,FBI,1110,1100
217,Federal Communications Commission,FCC,3060,3060
19,Federal Crop Insurance Corporation,FCIC,563,500
218,Federal Deposit Insurance Corporation,FDIC,3064,3064
306,Federal Election Commission,FEC,,
139,Federal Emergency Management Agency,FEMA,1660,1600
155,Federal Energy Regulatory Commission,FERC,1902,1900
179,Federal Highway Administration,,2125,2100
307,Federal Home Loan Mortgage Corporation,Freddie Mac,,
308,Federal Hospital Insurance Trust Fund Board ,,,
309,Federal Housing Administration,,,
198,Federal Housing Finance Agency,,2590,2590
219,Federal Housing Finance Agency,,3069,3069
310,Federal Insurance Trust Fund,,,
220,Federal Labor Relations Authority,,3070,3070
221,Federal Maritime Commission,,3072,3072
222,Federal Mediation and Conciliation Service,,3076,3076
103,Federal Mine Safety and Health Administration,,1219,1200
223,Federal Mine Safety and Health Review Commission,,3079,3079
180,Federal Motor Carrier Safety Administration,,2126,2100
311,Federal National Mortgage Association,Fannie Mae,,
182,Federal Railroad Administration,,2130,2100
276,Federal Reserve ,,7100,7100
312,Federal Retirement Thrift Investment Board,,,
313,Federal Supplementary Medication Insurance Trust Fund Board,,,
224,Federal Trade Commission,FTC,3084,3084
183,Federal Transit Administration,,2132,2100
115,Financial Crimes Enforcement Network,,1506,1500
