Keyword(s) for oversight,Agency witness,Witness name,Witness agency,Oversight,Agency witness serving as expert,,Category,Senate.Hearing.Number,Congress,title,Collection,filename,Held.Date,Congress.Chamber,Hearing.Sub.Type,ILS.System.ID,SuDoc.Class.Number
,,,,,,23317,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION'S FISCAL YEAR 2012 BUDGET REQUEST",Congressional Hearings,CHRG-112hhrg65048,2-Mar-11,House of Representatives,General,863964,Y 4.SCI 2:112-3
,,,,,,10435,Congressional Committee Materials,S. Hrg. 110-1197,110th,S. HRG. 110-1197 - UNITED STATES COMPETITIVENESS THROUGH BASIC RESEARCH,Congressional Hearings,CHRG-110shrg78569,19-Apr-07,Senate,General,891941,Y 4.C 73/7:S.HRG.110-1197
,,,,,,9728,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE APPROPRIATENESS OF RETIREMENT PLAN FEES",Congressional Hearings,CHRG-110hhrg49691,30-Oct-07,House of Representatives,General,NA,Y 4.W 36
,,,,,,9559,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - OVERSIGHT EFFORTS OF THE U.S. DEPARTMENT OF VETERANS AFFAIRS (VA) INSPECTOR GENERAL: ISSUES, PROBLEMS AND BEST PRACTICES AT THE VA",Congressional Hearings,CHRG-110hhrg34306,15-Feb-07,House of Representatives,General,NA,Y 4.V 64/3
,,,,,,12923,Congressional Committee Materials,S. Hrg. 109-909,109th,S. HRG. 109-909 - OVERSIGHT OF THE INTERNATIONAL MONETARY FUND,Congressional Hearings,CHRG-109shrg35862,7-Jun-05,Senate,General,NA,Y 4.B 22/3
,,,,,,8176,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - [H.A.S.C. NO. 110-130] INHERENTLY GOVERNMENTAL--WHAT IS THE PROPER ROLE OF GOVERNMENT?",Congressional Hearings,CHRG-110hhrg44371,11-Mar-08,House of Representatives,General,NA,Y 4.AR 5/2
,,,,,,15075,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - DISRUPTING TERRORIST TRAVEL: SAFEGUARDING AMERICA'S BORDERS THROUGH INFORMATION SHARING",Congressional Hearings,CHRG-108hhrg25777,30-Sep-04,House of Representatives,General,NA,NA
,,,,,,14316,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - KNIVES, BOX CUTTERS, AND BLEACH: A REVIEW OF PASSENGER SCREENER TRAINING, TESTING AND SUPERVISION",Congressional Hearings,CHRG-108hhrg92440,20-Nov-03,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,24818,Congressional Committee Materials,S. Hrg. 112-158,112th,S. HRG. 112-158 - NOMINATION HEARING ON U.S. CIRCUIT AND U.S. DISTRICT JUDGES,Congressional Hearings,CHRG-112shrg71212,2-Mar-11,Senate,Nomination,876569,Y 4.J 89/2:S.HRG.112-158
,,,,,,8513,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE FIGHT AGAINST GLOBAL POVERTY AND INEQUALITY: THE WORLD BANK'S APPROACH TO CORE LABOR STANDARDS AND EMPLOYMENT CREATION",Congressional Hearings,CHRG-110hhrg39905,3-Oct-07,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,21283,Congressional Committee Materials,S. Hrg. 112,112th,S. HRG. 112 - LEGISLATIVE BRANCH APPROPRIATIONS FOR FISCAL YEAR 2013,Congressional Hearings,CHRG-112shrg29104518,22-Mar-12,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,16043,Congressional Committee Materials,S. Hrg. 108-445,108th,"S. HRG. 108-445 - ELDER ABUSE, NEGLECT, AND EXPLOITATION: ARE WE DOING ENOUGH?",Congressional Hearings,CHRG-108shrg93251,24-Sep-03,Senate,General,NA,Y 4.J 89/2
,,,,,,6975,Congressional Committee Materials,S. Hrg. 111-515,111th,S. HRG. 111-515 - AVIATION SAFETY: PILOT FATIGUE,Congressional Hearings,CHRG-111shrg54497,1-Dec-09,Senate,General,713109,Y 4.C 73/7:S.HRG.111-515
,,,,,,11696,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - REVIEWING THE PROGRESS AND CHARTING THE PATH AHEAD: THE MICROENTERPRISE RESULTS AND ACCOUNTABILITY ACT OF 2004",Congressional Hearings,CHRG-109hhrg28970,27-Jul-06,House of Representatives,General,NA,Y 4.IN 8/16
,,,,,,5434,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - IRAN: RECENT DEVELOPMENTS AND IMPLICATIONS FOR U.S. POLICY",Congressional Hearings,CHRG-111hhrg51254,22-Jul-09,House of Representatives,General,NA,Y 4.F 76/1
,,,,,,6590,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - ANNUAL THREATS ASSESSMENT, PART I",Congressional Hearings,CHRG-111hhrg55551,3-Feb-10,House of Representatives,General,NA,NA
,,,,,,23777,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - HEARING ON THE USE OF TECHNOLOGY TO BETTER TARGET BENEFITS AND ELIMINATE WASTE, FRAUD, AND ABUSE",Congressional Hearings,CHRG-112hhrg74807,19-Apr-12,House of Representatives,General,915566,Y 4.W 36:112-HR 11
,,,,,,9836,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - HEARING ON THE DEPARTMENT OF VETERANS AFFAIRS NATIONAL CEMETERY ADMINISTRATION",Congressional Hearings,CHRG-109hhrg22357,20-Apr-05,House of Representatives,General,NA,NA
,,,,,,23232,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - WHAT THE EURO CRISIS MEANS FOR TAXPAYERS AND THE U.S. ECONOMY, PART II",Congressional Hearings,CHRG-112hhrg72800,16-Dec-11,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,9562,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - PERFORMANCE REVIEW OF EDUCATION, LOAN GUARANTY, VOCATIONAL REHABILITATION AND EMPLOYMENT, AND VETS PROGRAMS",Congressional Hearings,CHRG-110hhrg34308,7-Mar-07,House of Representatives,General,NA,Y 4.V 64/3
,,,,,,24108,Congressional Committee Materials,S. Hrg. 112-705,112th,S. HRG. 112-705 - ARE CONSUMERS ADEQUATELY PROTECTED FROM FLAMMABILITY OF UPHOLSTERED FURNITURE? HEARING ON THE EFFECTIVENESS OF FURNITURE FLAMMABILITY STANDARDS AND FLAME-RETARDANT CHEMICALS,Congressional Hearings,CHRG-112shrg75478,17-Jul-12,Senate,General,892976,Y 4.AP 6/2:S.HRG.112-705
,,,,,,10186,Congressional Committee Materials,S. Hrg. 110-201,110th,S. HRG. 110-201 - DEPARTMENT OF DEFENSE AUTHORIZATION FOR APPROPRIATIONS FOR FISCAL YEAR 2008,Congressional Hearings,CHRG-110shrg39439,"April 11, 2007April 25, 2007",Senate,Authorization,NA,Y 4.2
,,,,,,7188,Congressional Committee Materials,S. Hrg. 111-1219,111th,"S. HRG. 111-1219 - LEGISLATIVE HEARING TO CONSIDER THE FOLLOWING ITEMS: S. 373, A BILL TO AMEND TITLE 18, UNITED STATES CODE, TO INCLUDE CONSTRICTOR SNAKES; S. 1519, NUTRIA ERADICATION AND CONTROL ACT OF 2009; S. 1421, ASIAN CARP PREVENTION AND CONTROL ACT; S. 1965, FERAL SWINE ERADICATION AND CONTROL PILOT PROGRAM ACT OF 2009; H.R. 2188, JOINT VENTURES IN BIRD HABITAT CONSERVATION ACT OF 2009; S. 1214, NATIONAL FISH HABITAT CONSERVATION ACT; H.R. 3537, JUNIOR DUCK STAMP CONSERVATION AND DESIGN PROGRAM REAUTHORIZATION ACT OF 2009; H.R. 3433, TO AMEND THE NORTH AMERICAN WETLANDS CONSERVATION ACT; AND H.R. 509, MARINE TURTLE CONSERVATION REAUTHORIZATION ACT OF 2009",Congressional Hearings,CHRG-111shrg20185,3-Dec-09,Senate,Authorization,NA,Y 4.P 96/10
,,,,,,21644,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - FRAUD IN THE HUD HOME PROGRAM",Congressional Hearings,CHRG-112hhrg72622,2-Nov-11,House of Representatives,General,874499,Y 4.F 49/20:112-81
