Congress,Committees,Title,Filename,Hearing.Sub.Type,Section Header,Section Subheader,Notes
114th,338,S. HRG. 114-747 - U.S. POLICY IN LIBYA,CHRG-114shrg28480,General,-,-,Couldn't find transcript online
110th,173,"HOUSE HEARING, 110TH CONGRESS - THE BENEFITS OF INTERCITY PASSENGER RAIL",CHRG-110hhrg36685,General,-,-,Couldn't find transcript online
112th,138,"HOUSE HEARING, 112TH CONGRESS - ON THE FRONT LINES IN THE ACQUISITION WORKFORCE'S BATTLE AGAINST TAXPAYER WASTE",CHRG-112hhrg71963,General,-,-,Couldn't find transcript online
108th,138,"HOUSE HEARING, 108TH CONGRESS - WINNING THE WAR ON FINANCIAL MANAGEMENT--STATUS OF DEPARTMENT OF DEFENSE REFORM EFFORTS",CHRG-108hhrg89850,General,-,-,Couldn't find transcript online
108th,142,"HOUSE HEARING, 108TH CONGRESS - CONTINUITY OF CONGRESS: SPECIAL ELECTIONS IN EXTRAORDINARY CIRCUMSTANCES",CHRG-108hhrg90083,General,-,-,No witnesses other than members of Congress
114th,134,"HOUSE HEARING, 114TH CONGRESS - CONDEMNING THE GOVERNMENT OF IRAN'S STATE-SPONSORED PERSECUTION OF ITS BAHA'I MINORITY AND ITS CONTINUED VIOLATION OF THE INTERNATIONAL COVENANTS ON HUMAN RIGHTS",CHRG-114hhrg21544,Markup,-,-,No witnesses other than members of Congress
112th,134,"HOUSE HEARING, 112TH CONGRESS - TO MEASURE THE PROGRESS OF RELIEF, RECOVERY, RECONSTRUCTION, AND DEVELOPMENT EFFORTS IN HAITI FOLLOWING THE EARTHQUAKE OF JANUARY 12, 2010, AND FOR OTHER PURPOSES",CHRG-112hhrg65493,Markup,-,-,No witnesses other than members of Congress
109th,358,"S. HRG. 109-223 - NOMINATIONS OF CAROL E. DINKINS, OF TEXAS, TO BE CHAIRMAN OF THE PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD AND ALAN CHARLES RAUL, OF THE DISTRICT OF COLUMBIA, TO BE VICE CHAIRMAN OF THE PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD",CHRG-109shrg30391,General,-,-,This is a nomination hearing.
113th,358,S. HRG. 113-515 - CONFIRMATION HEARINGS ON FEDERAL APPOINTMENTS,CHRG-113shrg94843,General,-,-,This is a nomination hearing.
115th,332,S. HRG. 115-209 - BUSINESS MEETING,CHRG-115shrg29804,General,-,-,This is a nomination hearing.
115th,314,"S. HRG. 115-118 - NOMINATIONS OF DAVID J. RYDER, HESTER M. PEIRCE, AND ROBERT J. JACKSON, JR.",CHRG-115shrg27588,General,-,-,This is a nomination hearing.
109th,338,"S. HRG. 109-211 - IRAN: WEAPONS PROLIFERATION, TERRORISM, AND DEMOCRACY",CHRG-109shrg25153,General,CONTENTS,-,Witnesses intermixed with members of Congress in one list with no section subheader
112th,338,S. HRG. 112-738 - TERRORIST NETWORKS IN PAKISTAN AND THE PROLIFERATION OF IEDS,CHRG-112shrg79800,General,CONTENTS,-,Witnesses intermixed with members of Congress in one list with no section subheader
109th,308,"S. HRG. 109-782 - BRIEFING BY REPRESENTATIVES FROM THE DEPARTMENTS AND AGENCIES REPRESENTED ON THE COMMITTEE ON FOREIGN INVESTMENT IN THE UNITED STATES (CFIUS) TO DISCUSS THE NATIONAL SECURITY IMPLICATIONS OF THE ACQUISITION OF PENINSULAR AND ORIENTAL STEAMSHIP NAVIGATION COMPANY BY DUBAI PORTS WORLD, A GOVERNMENT-OWNED AND -CONTROLLED FIRM OF THE UNITED ARAB EMIRATES (UAE)",CHRG-109shrg32744,General,CONTENTS,CHRONOLOGICAL LIST OF WITNESSES,Block of text between section subheader and witnesses names appearing
111th,305,S. HRG. 111-246 - REGULATORY REFORM AND THE DERIVATIVES MARKET,CHRG-111shrg54570,General,CONTENTS,Panel I; Panel II,Witnesses listed under two separate sections under CONTENTS: Panel I and then Panel II. 
110th,305,S. HRG. 110-17 - AGRICULTURE AND RURAL AMERICA'S ROLE IN ENHANCING NATIONAL ENERGY SECURITY,CHRG-110shrg34149,General,CONTENTS,Panel I; Panel II,Witnesses listed under two separate sections under CONTENTS: Panel I and then Panel II. 
106th,-,S. HRG. 106-511 - COUNTER-INSURGENCY VS. COUNTER-NARCOTICS,CHRG-106shrg64317,General,CONTENTS,PANEL I; PANEL II,Witnesses listed under two separate sections under CONTENTS: Panel I and then Panel II. 
114th,305,S. HRG. 114-150 - REGULATORY ISSUES IMPACTING END-USERS AND MARKET LIQUIDITY,CHRG-114shrg96178,General,CONTENTS,Panel I; Panel II,Witnesses listed under two separate sections under CONTENTS: Panel I and then Panel II. 
111th,419,S. HRG. 111-64 - HEALTH CARE REFORM IN AN AGING AMERICA,CHRG-111shrg50873,General,CONTENTS,PANEL I; PANEL II,Witnesses listed under two separate sections under CONTENTS: Panel I and then Panel II. 
110th,384,S. HRG. 110-330 - SBA REAUTHORIZATION: SMALL BUSINESS VENTURE CAPITAL PROGRAMS,CHRG-110shrg39927,Authorization,CONTENTS,Participants,
109th,138,"HOUSE HEARING, 109TH CONGRESS - EMPOWERING LOCAL LAW ENFORCEMENT TO COMBAT ILLEGAL IMMIGRATION",CHRG-109hhrg36029,General,CONTENTS,Statement of:,
105th,138,"HOUSE HEARING, 105TH CONGRESS - AGENCY OVERSIGHT: MISSION, MANAGEMENT, AND PERFORMANCE",CHRG-105hhrg40431,General,CONTENTS,Statement of:,
109th,138,"HOUSE HEARING, 109TH CONGRESS - FIGHTING METH IN AMERICA'S HEARTLAND: ASSESSING THE IMPACT ON LOCAL LAW ENFORCEMENT AND CHILD WELFARE AGENCIES",CHRG-109hhrg24946,General,CONTENTS,Statement of:,
108th,115,"HOUSE HEARING, 108TH CONGRESS - THE BUDGET AND ECONOMIC OUTLOOK: FISCAL YEARS 2005-2014",CHRG-108hhrg91566,General,CONTENTS,Statement of:,
105th,138,"HOUSE HEARING, 105TH CONGRESS - NATIONAL DRUG CONTROL POLICY: DRUG INTERDICTION EFFORTS IN FLORIDA AND THE CARIBBEAN",CHRG-105hhrg46177,General,CONTENTS,Statement of:,
109th,138,"HOUSE HEARING, 109TH CONGRESS - STRENGTHENING THE NATION'S WATER INFRASTRUCTURE: THE ARMY CORPS OF ENGINEERS' PLANNING PRIORITIES",CHRG-109hhrg29708,General,CONTENTS,Statement of:,
111th,138,"HOUSE HEARING, 111TH CONGRESS - H.R. 1507, THE WHISTLEBLOWER PROTECTION ENHANCEMENT ACT OF 2009",CHRG-111hhrg51323,General,CONTENTS,Statement of:,
111th,138,"HOUSE HEARING, 111TH CONGRESS - TRAINING AND EQUIPPING AFGHAN SECURITY FORCES: UNACCOUNTED WEAPONS AND STRATEGIC CHALLENGES",CHRG-111hhrg64912,General,CONTENTS,Statement of:,
111th,362,S. HRG. 111-595 - THE COST OF BEING SICK: H1N1 AND PAID SICK DAYS,CHRG-111shrg53648,General,CONTENTS,STATEMENTS,Date is listed between STATEMENTS and list of witnesses
109th,362,S. HRG. 109-599 - NATURALLY OCCURRING RETIREMENT COMMUNITIES: A MODEL FOR AGING IN PLACE,CHRG-109shrg27586,General,CONTENTS,STATEMENTS,Date is listed between STATEMENTS and list of witnesses
111th,362,S. HRG. 111-1135 - A FAIR SHARE FOR ALL: PAY EQUITY IN THE NEW AMERICAN WORKPLACE,CHRG-111shrg75805,General,CONTENTS,STATEMENTS,Date is listed between STATEMENTS and list of witnesses
108th,306362,S. HRG. 108-92 - PUTTING THE TEACHING OF AMERICAN HISTORY AND CIVICS BACK IN THE CLASSROOM,CHRG-108shrg86582,General,CONTENTS,STATEMENTS,Date is listed between STATEMENTS and list of witnesses
106th,330,S. HRG. 106-14 - OFFSHORE OIL AND GAS ACTIVITY IMPACT,CHRG-106shrg55970,General,CONTENTS,STATEMENTS,
111th,330,S. HRG. 111-592 - SECURE WATER ACT,CHRG-111shrg58190,General,CONTENTS,STATEMENTS,
110th,330,S. HRG. 110-85 - ENERGY EFFICIENCY PROMOTION ACT OF 2007,CHRG-110shrg36640,General,CONTENTS,STATEMENTS,
112th,330,S. HRG. 112-224 - NATIONAL PARKS LEGISLATION,CHRG-112shrg72435,General,CONTENTS,STATEMENTS,
108th,435,S. HRG. 108-67 - INDIAN GAMING REGULATORY ACT,CHRG-108shrg87197,General,CONTENTS,Statements:,
111th,173,"HOUSE HEARING, 111TH CONGRESS - PILOT FLIGHT AND DUTY TIME RULE",CHRG-111hhrg58300,General,CONTENTS,TESTIMONY,
113th,173,"HOUSE HEARING, 113TH CONGRESS - IMPROVING THE NATION'S HIGHWAY FREIGHT NETWORK",CHRG-113hhrg86846,General,CONTENTS,TESTIMONY,
109th,173,"HOUSE HEARING, 109TH CONGRESS - HUMAN FACTORS ISSUES IN RAIL SAFETY",CHRG-109hhrg30662,General,CONTENTS,TESTIMONY,
111th,173,"HOUSE HEARING, 111TH CONGRESS - THE DEPARTMENT OF TRANSPORTATION'S OVERSIGHT AND MANAGEMENT OF HAZARDOUS MATERIALS SPECIAL PERMITS AND APPROVALS",CHRG-111hhrg56160,General,CONTENTS,TESTIMONY,
109th,173,"HOUSE HEARING, 109TH CONGRESS - COAST GUARD LAW ENFORCEMENT",CHRG-109hhrg22502,General,CONTENTS,TESTIMONY,
