"","Category","Senate.Hearing.Number","Congress","Committees","Committee_Blanks","Title","Collection","Filename","Held.Date","Congress.Chamber","Hearing.Sub.Type","ILS.System.ID","SuDoc.Class.Number","X","Witnesses","Members.of.the.congress","File.exists","heldDate","Scrapped.witnesses","Agency","JK.code","UA.code","Parent.UA.code","US.State","Inspector.General","subCommittee","Committee.member.count","Denominator.count","Party.count.100.200.328.999.9999.","Party...Committee.info.Party.Senior.Party.Member.Committee.Seniority","Expertise"
"16887","Congressional Committee Materials",NA,"111th","156",NA,"HOUSE HEARING, 111TH CONGRESS - ANTITRUST LAWS AND THEIR EFFECTS ON HEALTHCARE PROVIDERS, INSURERS AND PATIENTS","Congressional Hearings","CHRG-111hhrg62658","1-Dec-10","House of Representatives","General","806295","Y 4.J 89/1:111-157",NA,"Mr. Richard Feinstein Director : Bureau of Competition Federal Trade Commission Washington DC Oral Testimony;

Mr. Arthur Lerner Partner : Crowell & Moring LLP on behalf of America's Health Insurance Plans Oral Testimony;

Mr. David Balto Senior Fellow : Center for American Progress Oral Testimony;

Dr. Michael P. Connair M.D. : American Federation of State County and Municipal Employees AFL-CIO Oral Testimony;

Dr. Peter J. Mandell M.D. : Chair of the Council on Advocacy American Academy of Orthopaedic Surgeons Oral Testimony;

Ms. Sharis A. Pozen Chief of Staff and Counsel to the Assistant Attorney General : Antitrust Division U.S. Department of Justice Washington DC Oral Testimony;

Ms. Melinda Hatton Senior Vice President and General Counsel : American Hospital Association Oral Testimony;","Howard Coble : United States House of Representatives;

johnson, henry c hank, jr;

John Conyers, Jr. : United States House of Representatives;

goodlatte, robert w;

Charles A. Gonzalez : United States House of Representatives;","Yes","1/12/10","-","Federal Trade Commission

-

-

-

-

Department of Justice

-","224

-

-

-

-

88

-","3084.0

-

-

-

-

1100.0

-","3084.0

-

-

-

-

1100.0

-","Washington

-

-

Maryland

Maryland

Washington

-","No

No

No

No

No

No

No","Subcommittee on Courts and Competition Policy",5,"43","27:16:-:-:-","---

---

---

---

---","-

-

-

M.D. : Medical Doctor, a physicians degree

M.D. : Medical Doctor, a physicians degree

-

-"
"15122","Congressional Committee Materials",NA,"110th","173",NA,"HOUSE HEARING, 110TH CONGRESS - REAUTHORIZATION OF THE FEDERAL RAIL SAFETY PROGRAM","Congressional Hearings","CHRG-110hhrg34777","January 30, 2007

January 31, 2007","House of Representatives","Authorization",NA,"Y 4.T 68/2",NA,"Refer column R","James L. Oberstar : United States House of Representatives;

John L. Mica : United States House of Representatives;

Grace F. Napolitano : United States House of Representatives;

Peter A. DeFazio : United States House of Representatives;

Bill Shuster : United States House of Representatives;

Steven C. LaTourette : United States House of Representatives;

gonzalez, charles a;

Bruce L. Braley : United States House of Representatives;","Yes","2007-01-30;

2007-01-31","Boardman, Hon. Joseph H., Administrator, Federal Railroad Administration

Gonzalez, Hon. Charles A., a Representative in Congress from Texas

Scovel, Hon. Calvin L., III, Inspector General, U.S. Department of Transportation

Siggerud, Katherine, Director of Physical Infrastructure Issues, U.S. Government Accountability Office

Sumwalt, Hon. Robert L., III, Vice Chairman, National Transportation Safety Board, accompanied by Bob Chipkevich, Director, Office of Railroad, Pipelines and Hazardous Materials Investigations, National Transportation Safety Board

","Federal Railroad Administration

-

Department of Transportation

-

National Transportation Safety Board","182

-

176

-

244","2130.0

-

2100.0

-

3147.0","2100.0

-

2100.0

-

3147.0","-

Texas

-

-

-","No

No

Yes

No

No","Subcommittee on Railroads, Pipelines, and Hazardous Materials",8,"80","44:36:-:-:-","---

---

---

---

---

---

---

---","-"
"7026","Congressional Committee Materials","S. Hrg. 110-1154","110th","332",NA,"S. HRG. 110-1154 - EXAMINE THE CONDITION OF OUR NATION'S BRIDGES","Congressional Hearings","CHRG-110shrg73570","20-Sep-07","Senate","General","880109","Y 4.P 96/10: S.HRG.110-1154",NA,"Peters Hon. Mary E. : U.S. Department of Transportation;

Steudle Kirk T. : Director and CEO Michigan Department of Transportation on Behalf of the American Association of State Highway and Transportation Officials;

Herrmann Andrew : P.E. Managing Partner Hardesty and Hanover on Behalf of the American Society of Civil Engineers;

Scovel Calvin L. III : Inspector General U.S. Department of Transportation;","Frank R. Lautenberg : United States Senate;

Amy Klobuchar : United States Senate;

John Warner : United States Senate;

Joseph I. Lieberman : United States Senate;

Christopher S. Bond : United States Senate;

John Barrasso : United States Senate;

James M. Inhofe : United States Senate;

Barbara Boxer : United States Senate;

Bernard Sanders : United States Senate;

Lamar Alexander : United States Senate;

carper, thomas richard;

Johnny Isakson : United States Senate;

coleman, norm;","Yes","20-09-2007","-","Department of Transportation

Department of Transportation

-

Department of Transportation","176

176

-

176","2100.0

2100.0

-

2100.0","2100.0

2100.0

-

2100.0","-

Michigan

-

-","No

No

No

Yes","-",13,"20","8:10:2:-:-","---

---

---

---

---

---

---

---

---

---

100:0:7

---

---","-

-

-

-"
"21448","Congressional Committee Materials",NA,"109th","128",NA,"HOUSE HEARING, 109TH CONGRESS - FUNDING OPTIONS FOR THE YUCCA MOUNTAIN REPOSITORY PROGRAM","Congressional Hearings","CHRG-109hhrg99908","10-Mar-05","House of Representatives","General",NA,"Y 4.C 73/8",NA,"Refer column R","John D. Dingell : United States House of Representatives;

gibbons, jim;

Ralph M. Hall : United States House of Representatives;

berkley, shelley;

John Shimkus : United States House of Representatives;

boucher, frederick c;

porter, jon c;","Yes","10/3/05","Berkley, Hon. Shelly, a Representative in Congress from the State of Nevada

Garrish, Theodore J., Deputy Director, Office of Strategy and Program Development, Office of Civilian Radioactive Waste Management

Garvin, Robert M., Commissioner, Wisconsin Public Service, on Behalf of National Association of Regulatory Utility Commissioners

Gibbons, Hon. Jim, a Representative in Congress from the State of Nevada

Porter, Hon. Jon C., a Representative in Congress from the State of Nevada

Additional materal submitted for the record: Bolten, Joshua B., Director, Office of Management and Budget, letter dated March 24, 2005, requesting responses for the record

(iii) ","-

-

-

-

-

Office of Management and Budget

-","-

-

-

-

-

3

-","-

-

-

-

-

348.0

-","-

-

-

-

-

300.0

-","Nevada

-

Wisconsin

Nevada

Nevada

-

-","No

No

No

No

No

No

No","Subcommittee on Energy and Air Quality",7,"58","26:32:-:-:-","---

---

---

---

---

---

---","-"
"24797","Congressional Committee Materials",NA,"109th","106",NA,"HOUSE HEARING, 109TH CONGRESS - [H.A.S.C. NO. 109-93] YOUR TROOPS: THEIR STORIES","Congressional Hearings","CHRG-109hhrg32992","3-Nov-05","House of Representatives","General",NA,"Y 4.AR 5/2",NA,"Abrams Col. Robert : Chief of Staff 1st Cavalry Division U.S. Army;

Kelly Brig. Gen. John F. : Legislative Assistant to the Commandant U.S. Marine Corps;

Citola Command Sgt. Maj. Neil : Command Sgt. Maj. III Corps;","Thelma D. Drake : United States House of Representatives;

Ike Skelton : United States House of Representatives;

Susan A. Davis : United States House of Representatives;

Vic Snyder : United States House of Representatives;

Duncan Hunter : United States House of Representatives;

Silvestre Reyes : United States House of Representatives;","Yes","3/11/05","-","-

-

-","-

-

-","-

-

-","-

-

-","-

-

-","No

No

No","-",6,"63","28:35:-:-:-","---

---

---

---

---

---","-

-

-"
"11579","Congressional Committee Materials","S. Hrg. 107-435","107th","305",NA,"S. HRG. 107-435 - NOMINATION HEARING: WILLIAM T. HAWKS AND ERIC BOST","Congressional Hearings","CHRG-107shrg79496","16-May-01","Senate","General",NA,"Y 4.AG 8/3",NA,"Bost Eric M. : of Austin Texas to be Under Secretary for Food Nutrition and Consumer Services U.S. Department of Agriculture;

Hawks William T. : of Hernando Mississippi to Under Secretary for Marketing and Regulatory Programs U.S. Department of Agriculture;","Tom Harkin : United States Senate;

Kent Conrad : United States Senate;

Thad Cochran : United States Senate;

Craig Thomas : United States Senate;

stabenow, deborah annstabenow, debbie;

Tim Hutchinson : United States Senate;

Richard G. Lugar : United States Senate;","Yes","16-05-2001","-","Department of Agriculture

Department of Agriculture","11

11","500.0

500.0","500.0

500.0","Texas

Mississippi","No

No","-",7,"21","11:10:-:-:-","---

---

---

---

---

---

---","-

-"
"13390","Congressional Committee Materials",NA,"111th","192",NA,"HOUSE HEARING, 111TH CONGRESS - LEGISLATIVE HEARING ON H.R. 1293, H.R. 1197, H.R. 1302, H.R. 1335, H.R. 1546, H.R. 2734, H.R. 2738, H.R. 2770, H.R. 2898 AND DRAFT DISCUSSION LEGISLATION","Congressional Hearings","CHRG-111hhrg51868","18-Jun-09","House of Representatives","General",NA,"Y 4.V 64/3",NA,"Paralyzed Veterans of America Fred Cowell : Senior Health Policy Analyst;","Jerry McNerney : United States House of Representatives;

Harry Teague : United States House of Representatives;

Gus M. Bilirakis : United States House of Representatives;

hare, phil;

Deborah L. Halvorson : United States House of Representatives;

Harry E. Mitchell : United States House of Representatives;

Thomas S.P. Perriello : United States House of Representatives;","Yes","18-06-2009","-","-","-","-","-","-","No","Subcommittee on Health",7,"31","18:13:-:-:-","---

---

---

---

---

---

---","-"
"8020","Congressional Committee Materials","S. Hrg. 109-346","109th","330",NA,"S. HRG. 109-346 - JARRETT AND SPROAT NOMINATIONS","Congressional Hearings","CHRG-109shrg26838","10-Nov-05","Senate","Nomination",NA,"Y 4.EN 2",NA,"-","Pete V. Domenici : United States Senate;

Jeff Bingaman : United States Senate;

burr, richard mburr, richard;","Yes","10/11/05","-","-","-","-","-","-","-","-",3,"23","11:12:-:-:-","---

---

---","-"
"21163","Congressional Committee Materials",NA,"108th","128",NA,"HOUSE HEARING, 108TH CONGRESS - COMPETITION AND CONSUMER CHOICE IN THE MVPD MARKETPLACE, INCLUDING AN EXAMINATION OF PROPOSALS TO EXPAND CONSUMER CHOICE, SUCH AS A LA CARTE AND THEME-TIERED OFFERINGS","Congressional Hearings","CHRG-108hhrg95453","14-Jul-04","House of Representatives","General",NA,"Y 4.C 73/8",NA,"Refer column R","Heather Wilson : United States House of Representatives;

Bobby L. Rush : United States House of Representatives;

John Shimkus : United States House of Representatives;

bilirakis, michaelbilirakis, gus;

stearns, clifford b;

Paul E. Gillmor : United States House of Representatives;

Barbara Cubin : United States House of Representatives;

John D. Dingell : United States House of Representatives;

Edolphus Towns : United States House of Representatives;

pickering, charles w chip, jr;

Christopher Cox : United States House of Representatives;

Ralph M. Hall : United States House of Representatives;

Nathan Deal : United States House of Representatives;

Ed Whitfield : United States House of Representatives;

wynn, albert r;

Joe Barton : United States House of Representatives;

Eliot L. Engel : United States House of Representatives;

buyer, stephen e;

Michael F. Doyle : United States House of Representatives;

Bart Stupak : United States House of Representatives;

markey, edward j edmarkey, edward j;

Charles A. Gonzalez : United States House of Representatives;

upton, frederick s;

Charles F. Bass : United States House of Representatives;

Lee Terry : United States House of Representatives;

Greg Walden : United States House of Representatives;","Yes","14-07-2004","Baxter, Thomas G., President, Time Warner Cable

Fitzpatrick, Paul, COO, Crown Media Holding and Hallmark Channel

Kimmelman, Gene, Senior Director, Public Policy and Advocacy, Consumers Union

Larue, Janet M., Chief Counsel and Legal Studies Director, Concerned Women for America

Pyne, Ben, Executive VP, Disney and ESPN Affiliates, Sales and Marketing

Material submitted for the record by: Grocery Manufacturers of America, prepared statement of

(iii) ","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","No

No

No

No

No

No

No","Subcommittee on Telecommunications and the Internet",26,"60","27:33:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---","-"
"3642","Congressional Committee Materials","S. Hrg. 111-1144","111th","362",NA,"S. HRG. 111-1144 - PRODUCTION OVER PROTECTIONS: A REVIEW OF PROCESS SAFETY MANAGEMENT IN THE OIL AND GAS INDUSTRY","Congressional Hearings","CHRG-111shrg57104","10-Jun-10","Senate","General","884964","Y 4.L 11/4:S.HRG.111-1144",NA,"Refer column R","Patty Murray : United States Senate;

casey, robert p, jr;

Kay R. Hagan : United States Senate;

Johnny Isakson : United States Senate;","Yes","10/6/10",NA,NA,NA,NA,NA,NA,NA,"Subcommittee on Employment and Workplace Safety",4,"24","13:10:1:-:-","---

---

---

---","-"
