Word,abbreviation1,abbreviation2,abbreviation3,abbreviation4,abbreviation5,abbreviation6,abbreviation7,abbreviation8,abbreviation9,abbreviation10
Accountability,Account,Account.,Accountab,Accountab.,,,,,,
Accounting,Account,Account.,,,,,,,,
Administration,Admin,Admin.,,,,,,,,
Advisory,Advis,Advis.,,,,,,,,
Aeronautics,Aeronautic,,,,,,,,,
Agency,Ag,Ag.,,,,,,,,
Agricultural,Ag,Ag.,Agric,Agric.,,,,,,
Agriculture,Ag,Ag.,Agric,Agric.,,,,,,
Airmens,Airmen,,,,,,,,,
Alcohol,Alc,Alc.,,,,,,,,
American,Amer,Amer.,,,,,,,,
and,&,,,,,,,,,
Appalachian,App,App.,,,,,,,,
Architectural,Arch,Arch.,Architect,Architect.,,,,,,
Archives,Archive,,,,,,,,,
Association,Assoc,Assoc.,,,,,,,,
Atmospheric,Atmosphere,Atmospher.,Atmosphere,,,,,,,
Authority,Auth,Auth.,,,,,,,,
Avenue,Ave,Ave.,,,,,,,,
Benefit,Ben,Ben.,,,,,,,,
Benefits,Benefit,,,,,,,,,
Board,Brd,Brd.,,,,,,,,
Broadcasting,Broadcast,Broadcast.,,,,,,,,
Bureau,Bur,Bur.,,,,,,,,
Business,Bus,Bus.,,,,,,,,
Centers,Center,,,,,,,,,
Chiefs,Chief,,,,,,,,,
Citizenship,Citizen,Citizen.,,,,,,,,
Commerce,Comm,Comm.,,,,,,,,
Commission,Comm,Comm.,Commiss,Commiss.,,,,,,
Commodities,Comm,Comm.,Commod,Commod.,Commodity,,,,,
Commodity,Comm,Comm.,,,,,,,,
Communication,Comm,Comm.,Commun,Commun.,Communic,Communic.,,,,
Communications,Communication,Comm.,Comm,Commun,Commun.,Communic,Communic.,,,
Community,Comm,Comm.,,,,,,,,
Compliance,Comp,Comp.,Compl,Compl.,,,,,,
Comptroller,Comp,Comp.,Compt,Compt.,,,,,,
Conciliation,Conc,Conc.,Concil,Concil.,,,,,,
Conference,Conf,Conf.,,,,,,,,
Congress,Cong,Cong.,,,,,,,,
Consumer,Cons,Cons.,Consum,Consum.,,,,,,
Corporation,Corp,Corp.,,,,,,,,
Corps,Corp,Corp.,,,,,,,,
Defense,Def,Def.,,,,,,,,
Department,Dep,Dep.,Dept,Dept.,,,,,,
Deposit,Dep,Dep.,,,,,,,,
Depositor,Deposit,Deposit.,,,,,,,,
Development,Dev.,Dev,Devel.,Devel,Devt.,Devt.,,,,
Diplomatic,Dip,Dip.,Diplom,Diplom.,,,,,,
District of Columbia,DC,D.C.,,,,,,,,
Division,Div,Div.,,,,,,,,
DOD/GSA/NASA,DOD GSA NASA,"DOD, GSA, NASA",,,,,,,,
Economic,Econ,Econ.,,,,,,,,
Ecosystem,Ecosys,Ecosys.,Ecosyst,Ecosyst.,,,,,,
Education,Ed,Ed.,Educ,Educ.,,,,,,
Efficiency,Effic,Effic.,,,,,,,,
Election,Elec,Elec.,Elect,Elect.,,,,,,
Electricity,Electric,Electric.,,,,,,,,
Elementary,Elem,Elem.,,,,,,,,
Emergency,Emerg,Emerg.,,,,,,,,
Employment,Employ,Employ.,,,,,,,,
Endowment,Endow,Endow. ,,,,,,,,
Enforcement,Enforce,Enforce.,,,,,,,,
Environmental,Environ,Environ.,Env,Env.,,,,,,
Ethics,Ethic,,,,,,,,,
European,Eur,Eur.,Europ,Europ.,,,,,,
Executive,Exec,Exec.,,,,,,,,
Explosives,Explosive,,,,,,,,,
Export-Import,Export Import,,,,,,,,,
Facilities,Fac,Fac.,,,,,,,,
Families,Fam,Fam.,,,,,,,,
Federal,Fed,Fed.,,,,,,,,
Finance,Fin,Fin.,Finan,Finan.,,,,,,
Financial,Fin,Fin.,Finan,Finan.,Financ,Financ.,,,,
Firearms,Firearm,,,,,,,,,
Foundation,Fdn,Fdn.,Fndn,Fndn.,,,,,,
Futures,Future,,,,,,,,,
General,Gen,Gen.,,,,,,,,
Government,Gov,Gov.,,,,,,,,
Governors,Gov,Gov.,Govs,Govs.,,,,,,
Guaranty,Guar,Guar.,,,,,,,,
Immigration,Immig,Immig.,,,,,,,,
Independent,Indep,Indep.,Indept,Indept.,,,,,,
Information,Info,Info.,,,,,,,,
Inspection,Inspec,Inspec.,Inspect,Inspect.,,,,,,
Inspector,Inspectors,Inspec,Inspec.,Inspect.,Inspect,,,,,
Inspectors,Inspector,Inspec,Inspec.,Inspect.,Inspect,,,,,
Institute,Instit,Instit.,,,,,,,,
Institutes,Institute,Instit.,Instit,Inst.,Inst,,,,,
Insurance,Insur,Insur.,,,,,,,,
Intelligence,Intell,Intell.,Intellig,Intellig.,,,,,,
Inter-American,InterAmerican,Interamerican,,,,,,,,
Interior,Int,Int.,,,,,,,,
Internal,Intern,Intern.,Int,Int.,,,,,,
