Lauren's Agency Code,Agency,Clinton Lewis Name,Chen Johnson Name,Bonica Chen Johnson Name,Bonica Chen Johnson Name 2,Bonica Chen Johnson Name 3,Richardson et al Name,Parent Agency,UA Code,Parent UA Code,acronym,synonym1,synonym2
1,Administration for Children and Families,,,,,,Administration for Children and Families,Department of Health and Human Services,970,900,ACF,,
2,Administrative Conference of the United States,Administrative Conference of the United States,,,,,Administrative Conference of the United States,Administrative Conference of the United States,3002,3002,ACUS,Administrative Conference,
3,Advisory Council on Historic Preservation,,,,,,,Advisory Council on Historic Preservation,3010,,ACHP,Council on Historic Preservation,
4,Agricultural Marketing Service,,,,,,Agricultural Marketing Service,Department of Agriculture,581,500,AMS,,
5,Agricultural Research Service,,,,,,Agricultural Research Service,Department of Agriculture,518,500,ARS,,
6,American Battle Monuments Commission,,,,,,,American Battle Monuments Commission,3263,,,Battle Monuments Commission,
7,Animal and Plant Health Inspection Service,,,,,,Animal and Plant Health Inspection Service,Department of Agriculture,579,500,APHIS,,
8,Appalachian Regional Commission,Appalachian Regional Commission,,APPALACHIAN REGIONAL COMMISSION,Appalachian Regional Commission,,,Appalachian Regional Commission,3011,3011,ARC,,
9,Architectural and Transportation Barriers Compliance Board,,,,,,,Architectural and Transportation Barriers Compliance Board,3014,,,,
10,Arms Control and International Security,,,,,,Arms Control and International Security,Department of State,,,,,
11,Asian Development Bank,,,Asian Development Bank,,,,Asian Development Bank,,,ADB,,
12,Barry Goldwater Scholarship and Excellence in Education Program,,,Barry Goldwater Scholarship & Excellence in Education Foundation,,,,Barry Goldwater Scholarship and Excellence in Education Program,3019,3019,,Goldwater Scholarship,
13,Board for International Broadcasting,Board for International Broadcasting,,,,,,Board for International Broadcasting,,,BIB,,
14,Board of Veterans Appeals,,,,,,,Veterans Affairs,,,,Veterans Appeals,
15,Broadcasting Board of Governors,Broadcasting Board of Governors/USIA,broadcasting board of governors,BROADCASTING BOARD OF GOVERNORS,Broadcasting Board of Governors,,Broadcasting Board of Governors,Broadcasting Board of Governors,3112,3112,BBG,,
16,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,,,,,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Department of Justice,1140,1100,ATF,,
17,Bureau of Consular Affairs,,,,,,Bureau of Consular Affairs,Department of State,,,,Consular Affairs,
18,Bureau of Diplomatic Security,,,,,,Bureau of Diplomatic Security,Department of State,,,,Diplomatic Security,
19,Bureau of Economic Analysis,,,,,,Bureau of Economic Analysis,Department of Commerce,691,600,BEA,,
20,Bureau of Indian Affairs,,,,,,Bureau of Indian Affairs,Department of the Interior,1076,1000,BIA,,
21,Bureau of International Narcotics and Law Enforcement Affairs,,,,,,Bureau of International Narcotics and Law Enforcement Affairs,Department of State,,,INL,International Narcotics and Law Enforcement Affairs,
22,Bureau of Labor Statistics,,,,,,Bureau of Labor Statistics,Department of Labor,1220,1200,BLS,,
23,Bureau of Land Management,,,,,,Bureau of Land Management,Department of the Interior,1004,1000,BLM,,
24,Bureau of Prisons,,,,,,Bureau of Prisons,Department of Justice,1120,1100,BOP,,
25,Bureau of Reclamation,,,,,,Bureau of Reclamation,Department of the Interior,1006,1000,,,
26,Bureau of the Fiscal Service,,,,,,Bureau of the Fiscal Service,Department of the Treasury,1530,1500,,Fiscal Service,
27,Centers for Disease Control and Prevention,,,,,,Centers for Disease Control and Prevention,Department of Health and Human Services,920,900,CDC,,
28,Centers for Medicare and Medicaid Services,,,Centers for Medicare and Medicaid Services,,,Centers for Medicare and Medicaid Services,Department of Health and Human Services,938,900,CMS,,
29,Central Intelligence Agency,,,Central Intelligence Agency,,,Central Intelligence Agency,Central Intelligence Agency,,,CIA,,
30,Chemical Safety and Hazard Investigation Board,,,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,Chemical Safety and Hazard Investigation Board,,,Chemical Safety and Hazard Investigation Board,,,CSB,,
31,Civil Service Commission,,civil service commission,,,,,Civil Service Commission,,,,,
32,"Civilian Security, Democracy, and Human Rights",,,,,,"Civilian Security, Democracy, and Human Rights",Department of State,,,,,
33,Commission on Civil Rights,Commission on Civil Rights,commission on civil rights,COMMISSION ON CIVIL RIGHTS,,,,Commission on Civil Rights,3035,3035,USCCR,,
34,Committee for Purchase From People Who Are Blind or Severely Disabled,,,,,,,Committee for Purchase From People Who Are Blind or Severely Disabled,3037,,CPPBSD,,
35,Commodities Futures Trading Commission,Commodity Futures Trading Commission,commodity futures trading commission,COMMODITY FUTURES TRADING COMMISSION,Commodity Futures Trading Commission,,Commodity Futures Trading Commission,Commodities Futures Trading Commission,3038,3038,CFTC,,
36,Commodity Credit Corporation,,,Commodity Credit Corporation,,,,Commodity Credit Corporation,566,500,CCC,,
37,Consumer Financial Protection Bureau,,,,,,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,3170,3170,CFPB,,
38,Consumer Product Safety Commission,Consumer Product Safety Commission,consumer product safety commission,CONSUMER PRODUCT SAFETY COMMISSION,Consumer Product Safety Commission,,Consumer Product Safety Commission,Consumer Product Safety Commission,3041,3041,CPSC,,
39,Corporation for National Community Service,Corporation for National and Community Service,,Corporation for National and Community Service,,,Corporation for National and Community Service,Corporation for National Community Service,3045,3045,CNCS,,
40,Corporation for Public Broadcasting,,,Corporation for Public Broadcasting,,,,Corporation for Public Broadcasting,,,CPB,,
41,Council of Economic Advisors,Council of Economic Advisers,,,,,Council of Economic Advisers,Council of Economic Advisors,,,CEA,,
42,Council of the Inspectors General on Integrity and Efficiency,,,,,,,Council of the Inspectors General on Integrity and Efficiency,3219,,CIGIE,Inspectors General on Integrity and Efficiency,
43,Council on Environmental Quality,Council on Environmental Quality,,,,,Council on Environmental Quality,Council on Environmental Quality,331,300,CEQ,,
44,Court Services and Offender Supervision Agency,,court services and offender supervision agency,,,,,Court Services and Offender Supervision Agency,3225,3225,CSOSA,,
45,Defense Advanced Research Projects Agency,,,,,,Defense Advanced Research Projects Agency,Department of Defense,,,DARPA,,
46,Defense Base Closure and Realignment Commission,,,Defense Base Closure and Realignment Commission,,,,Department of Defense,,,BRAC,,
47,Defense Commissary Agency,,,,,,Defense Commissary Agency,Department of Defense,,,DeCA,,
48,Defense Contract Audit Agency,,,,,,Defense Contract Audit Agency,Department of Defense,,,DCAA,,
49,Defense Contract Management Agency,,,,,,Defense Contract Management Agency,Department of Defense,,,DCMA,,
50,Defense Finance and Accounting Service,,,,,,Defense Finance and Accounting Service,Department of Defense,730,700,DFAS,,
51,Defense Health Agency,,,,,,Defense Health Agency,Department of Defense,,,DHA,,
52,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,,Defense Nuclear Facilities Safety Board,,,,Defense Nuclear Facilities Safety Board,3155,3155,DNFSB,,
53,Delta Regional Authority,,,Delta Regional Authority,,,,Delta Regional Authority,,,DRA,,
54,Department of Agriculture,Department of Agriculture,department of agriculture,DEPARTMENT OF AGRICULTURE,Department of Agriculture,,Department of Agriculture,Department of Agriculture,500,500,USDA,,
55,Department of Commerce,Department of Commerce,department of commerce,DEPARTMENT OF COMMERCE,Department of Commerce,,Department of Commerce,Department of Commerce,600,600,,,
56,Department of Defense,Department of Defense,department of defense,DEPARTMENT OF DEFENSE,Department of Defense,,Department of Defense,Department of Defense,700,700,DOD,,
